ACR,ACFT_ID,ENGINE,%,MOST_FREQ
JS31,JS31-C,FOI-99,4.81,
JS32,JS32-A,FOI-106,95.25,*
JS32,JS32-B,FOI-107,4.75,
JS41,JS41-A,FOI-109,100,*
JU52,JU52-A,FOCA-20,100,*
K100,K100-A,FOI-21,100,*
KA26,KA26-A,FOCA-16,100,*
KA27,KA27-A,FOI-52,100,*
KA52,KA52-A,FOI-52,100,*
KC2,KC2-A,01P08GE193,100,*
KEST,KEST-A,FOI-109,100,*
KP2,KP2-A,FOCA-10,100,*
KR30,KR30-A,FOCA-10,100,*
L101,L101-A,1RR005,97.88,*
L101,L101-B,1RR003,2.12,
L12,L12-A,FOCA-4,100,*
L14,L14-A,FOCA-4,100,*
L188,L188-A,FOI-2,100,*
L200,L200-A,FOCA-18,100,*
L29,L29-A,1PW035,100,*
L29A,L29A-A,1AS002,100,*
L29B,L29B-A,1AS002,100,*
L37,L37-A,FOCA-20,100,*
L39,L39-A,1AS002,100,*
L40,L40-A,FOCA-13,100,*
L410,L410-A,FOI-94,99.99,*
L410,L410-B,PT6A-27,0.01,
L8,L8-A,FOCA-11,100,*
LA25,LA25-A,FOCA-3,100,*
LA4,LA4-A,FOCA-2,100,*
LA8,LA8-A,FOCA-8,100,*
LANC,LANC-A,FOCA-20,100,*
LCA,LCA-A,8RR043,100,*
LEG2,LEG2-A,FOCA-4,100,*
LGEZ,LGEZ-A,FOCA-12,100,*
LJ23,LJ23-A,1PW037,100,*
LJ24,LJ24-A,1AS002,100,*
LJ25,LJ25-A,1AS002,100,*
LJ31,LJ31-A,1AS001,100,*
LJ35,LJ35-A,1AS001,100,*
LJ40,LJ40-A,1AS002,100,*
LJ45,LJ45-A,1AS002,100,*
LJ55,LJ55-A,1AS002,100,*
LJ60,LJ60-A,PW307B,100,*
LJ70,LJ70-A,1AS002,100,*
LJ75,LJ75-A,1AS002,100,*
LNC2,LNC2-A,FOCA-2,100,*
LNC4,LNC4-A,FOCA-14,100,*
LNCE,LNCE-A,FOCA-4,100,*
LNP4,LNP4-A,FOI-16,100,*
M10,M10-A,FOCA-14,100,*
M10F,M10F-A,FOCA-13,100,*
M17,M17-A,4PW068,100,*
M18,M18-A,FOCA-16,100,*
M2,M2-A,FOCA-11,100,*
M200,M200-A,FOCA-16,100,*
M203,M203-A,FOCA-14,100,*
M20P,M20P-A,FOCA-18,100,*
