oid,profile_id,arrival_departure,stage,point,weight_lbs,horizontal_feet,vertical_feet,tas_knots,weight_kgs,horizontal_metres,vertical_metres,tas_metres,power,mode,course
239,A320-232-DEFAULT,D,5,21,172000.00014423762,21707.955012036517,1501.7674773538606,233.30950823736072,78017.88770542508,6616.584687668731,457.7387270974567,120.02478034877556,19572.0882408089,TO,IMPACT trajectory
240,A320-232-DEFAULT,D,5,22,172000.00014423762,22707.955012036517,1608.1102181730432,233.67801535043583,78017.88770542508,6921.38468766873,490.1519944991436,120.21435678583532,15358.442399162715,CL,IMPACT trajectory
241,A320-232-DEFAULT,D,5,23,172000.00014423762,23087.76261823347,1648.5,233.8217450608487,78017.88770542508,7037.150046037563,502.4628,120.28829773685884,15365.599359347669,CL,IMPACT trajectory
242,A320-232-DEFAULT,D,5,24,172000.00014423762,35796.66958817881,3000.0,238.58122897016705,78017.88770542508,10910.824890476903,914.4000000000001,122.73678779243039,15603.188878333334,CL,IMPACT trajectory
243,A320-232-DEFAULT,D,5,25,172000.00014423762,36455.96708723974,3023.84841676294,241.01635329221435,78017.88770542508,11111.778768190674,921.6689974293441,123.98952397143916,15627.247610245691,CL,IMPACT trajectory
244,A320-232-DEFAULT,D,5,26,172000.00014423762,39365.8818316866,3129.1072106595307,251.48261606663547,78017.88770542508,11998.720782298076,953.751877809025,129.37383470983582,15732.995134377505,CL,IMPACT trajectory
245,A320-232-DEFAULT,D,5,27,172000.00014423762,39628.272792606345,3138.5985389290227,252.4050427202379,78017.88770542508,12078.697547186415,956.6448346655661,129.84837197718906,15742.095307997735,CL,IMPACT trajectory
246,A320-232-DEFAULT,D,5,28,172000.00014423762,42800.578510084095,3253.348661533196,263.3015925671291,78017.88770542508,13045.616329873632,991.6206720353181,135.4540415095342,15851.702988580775,CL,IMPACT trajectory
247,A320-232-DEFAULT,D,5,29,172000.00014423762,43123.01974752997,3265.012156424531,264.3840031631039,78017.88770542508,13143.896419047136,995.1757052781971,136.01088162724122,15862.801390421677,CL,IMPACT trajectory
248,A320-232-DEFAULT,D,5,30,172000.00014423762,45972.88422041631,3549.8685943796686,265.5610543470543,78017.88770542508,14012.53511038289,1081.999947566923,136.61640906965127,15914.143089862073,CL,IMPACT trajectory
249,A320-232-DEFAULT,D,5,31,172000.00014423762,49145.18993556363,3866.954446959309,266.8651744182674,78017.88770542508,14979.453892359794,1178.6477154331974,137.2873063951753,15971.099613531072,CL,IMPACT trajectory
250,A320-232-DEFAULT,D,5,32,172000.00014423762,50476.25268986899,4000.0,267.41047396718267,78017.88770542508,15385.16181987207,1219.2,137.56783271867286,15994.937508370756,CL,IMPACT trajectory
251,A320-232-DEFAULT,D,5,33,172000.00014423762,52317.495646661635,4000.0,267.41047396718267,78017.88770542508,15946.372673102467,1219.2,137.56783271867286,15994.937508370756,CL,IMPACT trajectory
252,A320-232-DEFAULT,D,5,34,172000.00014423762,55489.80135745536,4000.0,267.41047396718267,78017.88770542508,16913.291453752394,1219.2,137.56783271867286,15994.937508370756,CL,IMPACT trajectory
253,A320-232-DEFAULT,D,5,35,172000.00014423762,58662.10706329186,4000.0,267.41047396718267,78017.88770542508,17880.21023289136,1219.2,137.56783271867286,15994.937508370756,CL,IMPACT trajectory
254,A320-232-DEFAULT,D,5,36,172000.00014423762,61834.41277900927,4000.0,267.41047396718267,78017.88770542508,18847.129015042025,1219.2,137.56783271867286,15994.937508370756,CL,IMPACT trajectory
255,A320-232-DEFAULT,D,5,37,172000.00014423762,65006.718491776526,4000.0,267.41047396718267,78017.88770542508,19814.047796293486,1219.2,137.56783271867286,15994.937508370756,CL,IMPACT trajectory
