oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
94,MOT,Mopeds >50cc,Conventional,18.1,0.172,-0.001,0.0,0.0,0.0,0,0,NULL,21.5,0.05,0.0001,0,0,0,0,0,NULL
95,MOT,Mopeds >50cc,97/24/EC,-6.9,0.715,-0.0063,0.0,0.0,0.0,0,0,NULL,6.0,0.1571,0.0007,0,0,0,0,0,NULL
96,MOT,Bike >50cc,Conventional,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
97,MOT,Bike >50cc,97/24/EC,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NULL,0.0,0.0,0.0,0,0,0,0,0,NULL
98,MOT,Bike <250cc,Conventional,68.3,-1.92,0.0193,0.0,0.0,0.0,0,0,NULL,9.5,0.121,0.0017,0,0,0,0,0,NULL
99,MOT,Bike <250cc,97/24/EC,23.5,-0.73,0.0076,0.0,0.0,0.0,0,0,NULL,0.8,0.051,0.001,0,0,0,0,0,NULL
100,MOT,Bike 250-750cc,Conventional,55.0,-1.42,0.0139,0.0,0.0,0.0,0,0,NULL,17.8,-0.0099,0.0009,0,0,0,0,0,NULL
101,MOT,Bike 250-750cc,97/24/EC,23.5,-0.73,0.0076,0.0,0.0,0.0,0,0,NULL,0.8,0.051,0.001,0,0,0,0,0,NULL
102,MOT,Bike >750cc,Conventional,42.8,-1.19,0.0123,0.0,0.0,0.0,0,0,NULL,6.9,0.124,0.0005,0,0,0,0,0,NULL
103,MOT,Bike >750cc,97/24/EC,23.5,-0.73,0.0076,0.0,0.0,0.0,0,0,NULL,0.8,0.051,0.001,0,0,0,0,0,NULL
