290,CYYR,GooseBay,CA,53.3191666667,-60.4258333333,160
291,CYYT,StJohnsIntl,CA,47.6186111111,-52.7519444444,461
292,CYYU,Kapuskasing,CA,49.4138888889,-82.4675,743
293,CYYW,Armstrong,CA,50.2902777778,-88.9097222222,1058
294,CYYY,MontJoli,CA,48.6086111111,-68.2080555556,172
295,CYYZ,TorontoLesterBPearson,CA,43.6772222222,-79.6305555556,569
296,CYZD,TorontoDownsview,CA,43.7425,-79.4655555556,650
297,CYZE,GoreBayManitoulin,CA,45.8852777778,-82.5677777778,635
298,CYZF,Yellowknife,CA,62.4627777778,-114.440277778,675
299,CYZG,Salluit,CA,62.1791666667,-75.6669444444,742
300,CYZH,SlaveLake,CA,55.2933333333,-114.778333333,1912
301,CYZP,Sandspit,CA,53.2541666667,-131.813888889,21
302,CYZR,Sarnia,CA,42.9994444444,-82.3088888889,594
303,CYZS,CoralHarbour,CA,64.1933333333,-83.3594444444,210
304,CYZT,PortHardy,CA,50.6805555556,-127.366666667,71
305,CYZU,Whitecourt,CA,54.1438888889,-115.786666667,2567
306,CYZV,SeptIles,CA,50.2233333333,-66.2655555556,180
307,CYZW,Teslin,CA,60.1727777778,-132.742777778,2313
308,CYZX,Greenwood,CA,44.9844444444,-64.9169444444,92
309,CYZY,Mackenzie,CA,55.3044444444,-123.132222222,2264
310,CZAM,SalmonArm,CA,50.6827777778,-119.228611111,1751
311,CZBB,BoundaryBay,CA,49.0727777778,-123.006944444,5
312,CZBF,Bathurst,CA,47.6297222222,-65.7388888889,193
313,CZBM,Bromont,CA,45.2908333333,-72.7413861111,374
314,CZFA,Faro,CA,62.2075,-133.375833333,2351
315,CZFM,FortMcpherson,CA,67.4077777778,-134.860277778,142
316,CZGF,GrandForks,CA,49.0155555556,-118.430555556,1720
317,CZHP,HighPrairie,CA,55.3936111111,-116.475277778,1974
318,CZJN,SwanRiver,CA,52.1208333333,-101.236111111,1100
319,CZML,OneZeroEightMileAirpo,CA,51.7366666667,-121.333611111,3127
320,CZMT,Masset,CA,54.0272222222,-132.125,25
321,CZNL,Nelson,CA,49.4941666667,-117.300555556,1755
322,CZPC,PincherCreek,CA,49.5205555556,-113.997222222,3903
323,CZST,Stewart,CA,55.9333333333,-129.983333333,24
324,CZUC,IgnaceMuni,CA,49.4297222222,-91.7177777778,1435
