oid,engine_type,engine_full_name,engine_name,thrust,mode,fuel_kg_sec,co_ei,hc_ei,nox_ei,sox_ei,pm10_ei,p1_ei,p2_ei,smoke_number,smoke_number_maximum,fuel_type,manufacturer,source,remark,status,engine_name_type,coolant,combustion_technology,technology_age,pm10_prefoa3,pm10_nonvol,pm10_sul,pm10_organic,eng_type,bpr,nvpm_ei,nvpm_number_ei
72,J,AE3007A2,10AL026,0.07,TX,0.055,34.17,1.71,4.39,1,489.6000000000001,15.1711907,15.1711907,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A2Type 3 (reduced emissions),,,,,,,,MTF,4.79,15.16064,764579931029438.6
73,J,AE3007A3,6AL017,1.0,TO,0.3583,0.83,0.233,18.52,1,489.6000000000001,15.027395,15.027395,1.0,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 1,,,,,,,,MTF,4.72,15.0006,756508926704300.1
74,J,AE3007A3,6AL017,0.85,CL,0.2995,1.03,0.27,15.79,1,489.6000000000001,15.02112,15.02112,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 1,,,,,,,,MTF,4.72,15.0006,756508926704300.1
75,J,AE3007A3,6AL017,0.3,AP,0.1076,4.22,0.69,6.83,1,489.6000000000001,15.039412500000001,15.039412500000001,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 1,,,,,,,,MTF,4.72,15.0006,756508926704300.1
76,J,AE3007A3,6AL017,0.07,TX,0.0448,25.73,4.705,3.38,1,489.6000000000001,15.029629850000001,15.029629850000001,0.01,1.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 1,,,,,,,,MTF,4.72,15.0006,756508926704300.1
77,J,AE3007A3,6AL018,1.0,TO,0.3583,0.0,0.0,20.93,1,489.6000000000001,15.0006,15.0006,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 2,,,,,,,,MTF,4.72,15.0006,756508926704300.1
78,J,AE3007A3,6AL018,0.85,CL,0.2995,0.0,0.0,18.27,1,489.6000000000001,15.0006,15.0006,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 2,,,,,,,,MTF,4.72,15.0006,756508926704300.1
79,J,AE3007A3,6AL018,0.3,AP,0.1076,2.0,0.23,6.56,1,489.6000000000001,15.0135375,15.0135375,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 2,,,,,,,,MTF,4.72,15.0006,756508926704300.1
80,J,AE3007A3,6AL018,0.07,TX,0.0448,34.86,5.65,3.18,1,489.6000000000001,15.035460500000001,15.035460500000001,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 2,,,,,,,,MTF,4.72,15.0006,756508926704300.1
81,J,AE3007A3,6AL019,1.0,TO,0.3583,0.5,0.03,15.4,1,489.6000000000001,15.004050000000001,15.004050000000001,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 3 (reduced emissions),,,,,,,,MTF,4.72,15.0006,756508926704300.1
82,J,AE3007A3,6AL019,0.85,CL,0.2995,0.5,0.03,13.48,1,489.6000000000001,15.002880000000001,15.002880000000001,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 3 (reduced emissions),,,,,,,,MTF,4.72,15.0006,756508926704300.1
83,J,AE3007A3,6AL019,0.3,AP,0.1076,7.65,0.03,6.93,1,489.6000000000001,15.0022875,15.0022875,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 3 (reduced emissions),,,,,,,,MTF,4.72,15.0006,756508926704300.1
84,J,AE3007A3,6AL019,0.07,TX,0.0448,41.29,4.1,4.12,1,489.6000000000001,15.025897,15.025897,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A3Type 3 (reduced emissions),,,,,,,,MTF,4.72,15.0006,756508926704300.1
85,J,AE3007C,3AL001,1.0,TO,0.28,0.97,0.29,16.92,1,489.6000000000001,21.82986,21.82986,1.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.3,21.79651,1099239535638922.4
86,J,AE3007C,3AL001,0.85,CL,0.234,1.19,0.33,14.56,1,489.6000000000001,21.82159,21.82159,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.3,21.79651,1099239535638922.4
87,J,AE3007C,3AL001,0.3,AP,0.091,4.5,0.83,6.63,1,489.6000000000001,21.843197500000002,21.843197500000002,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.3,21.79651,1099239535638922.4
88,J,AE3007C,3AL001,0.07,TX,0.039,29.88,5.84,3.24,1,489.6000000000001,21.832542800000002,21.832542800000002,0.0,1.0,Jet A/JP-8,Rolls-Royce Corporation,EEDB,,Out of production,,,,,,,,,MTF,5.3,21.79651,1099239535638922.4
89,J,AE3007A1E,6AL020,1.0,TO,0.4122,0.77,0.03,17.17,1,489.6000000000001,15.004050000000001,15.004050000000001,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1EType 3,,,,,,,,MTF,4.72,15.0006,756508926704300.1
90,J,AE3007A1E,6AL020,0.85,CL,0.3425,0.64,0.03,14.91,1,489.6000000000001,15.002880000000001,15.002880000000001,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1EType 3,,,,,,,,MTF,4.72,15.0006,756508926704300.1
91,J,AE3007A1E,6AL020,0.3,AP,0.12,5.63,0.03,7.42,1,489.6000000000001,15.0022875,15.0022875,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1EType 3,,,,,,,,MTF,4.72,15.0006,756508926704300.1
92,J,AE3007A1E,6AL020,0.07,TX,0.0475,37.97,3.52,4.26,1,489.6000000000001,15.0223184,15.0223184,0.01,0.01,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007A1EType 3,,,,,,,,MTF,4.72,15.0006,756508926704300.1
93,J,AE3007C,6AL021,1.0,TO,0.301,0.94,0.254,16.88,1,489.6000000000001,16.12354,16.12354,1.0,0.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007CType 1,,,,,,,,MTF,5.2,16.09433,811667624811471.9
94,J,AE3007C,6AL021,0.85,CL,0.2527,1.16,0.291,14.57,1,489.6000000000001,16.116446,16.116446,0.01,0.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007CType 1,,,,,,,,MTF,5.2,16.09433,811667624811471.9
95,J,AE3007C,6AL021,0.3,AP,0.0943,4.28,0.696,6.78,1,489.6000000000001,16.13348,16.13348,0.01,0.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007CType 1,,,,,,,,MTF,5.2,16.09433,811667624811471.9
96,J,AE3007C,6AL021,0.07,TX,0.0377,26.32,4.953,3.36,1,489.6000000000001,16.124890009999998,16.124890009999998,0.01,0.0,Jet A,Rolls-Royce Corporation,EEDB,,Out of production,AE3007CType 1,,,,,,,,MTF,5.2,16.09433,811667624811471.9
