stage,count,timestamp
process(),720,0.022001
process(),721,0.021999
process(),722,0.030001
process(),723,0.023
process(),724,0.021998
process(),725,0.022001
process(),726,0.022
process(),727,0.022
process(),728,0.022002
process(),729,0.021996
process(),730,0.021
process(),731,0.023001
process(),732,0.021036
process(),733,0.023998
process(),734,0.022002
process(),735,0.021993
process(),736,0.020024
process(),737,0.020981
process(),738,0.019999
process(),739,0.020019
process(),740,0.019
process(),741,0.019
process(),742,0.019946
process(),743,0.019036
process(),744,0.019018
process(),745,0.019006
process(),746,0.017999
process(),747,0.018999
process(),748,0.018005
process(),749,0.017995
process(),750,0.018996
process(),751,0.019
process(),752,0.018
process(),753,0.023969
process(),754,0.02198
process(),755,0.020998
process(),756,0.021035
process(),757,0.020966
process(),758,0.020033
process(),759,0.020003
process(),760,0.019998
process(),761,0.019999
process(),762,0.02
process(),763,0.020002
process(),764,0.020007
process(),765,0.018993
process(),766,0.019998
process(),767,0.020002
process(),768,0.019999
process(),769,0.020006
process(),770,0.018996
process(),771,0.020998
process(),772,0.021967
process(),773,0.020035
process(),774,0.019997
process(),775,0.020968
process(),776,0.019052
process(),777,0.021003
process(),778,0.020978
process(),779,0.019968
process(),780,0.020051
process(),781,0.02
process(),782,0.02
process(),783,0.020999
process(),784,0.020003
process(),785,0.019002
process(),786,0.019941
process(),787,0.020054
process(),788,0.01895
process(),789,0.02005
process(),790,0.019952
process(),791,0.019994
process(),792,0.019054
process(),793,0.019005
process(),794,0.018995
process(),795,0.019002
process(),796,0.018998
process(),797,0.018
process(),798,0.019
process(),799,0.019001
process(),800,0.019003
process(),801,0.018002
process(),802,0.018999
process(),803,0.018
process(),804,0.017999
process(),805,0.017999
process(),806,0.021001
process(),807,0.019
process(),808,0.020001
process(),809,0.018998
process(),810,0.019001
process(),811,0.018996
process(),812,0.018001
process(),813,0.019003
process(),814,0.018996
process(),815,0.019004
process(),816,0.019002
process(),817,0.019969
process(),818,0.02003
process(),819,0.021002
process(),820,0.020999
process(),821,0.019995
process(),822,0.02
process(),823,0.023977
process(),824,0.021025
process(),825,0.018997
process(),826,0.020001
process(),827,0.02
process(),828,0.02
process(),829,0.024985
process(),830,0.019991
process(),831,0.020026
process(),832,0.019997
process(),833,0.018949
process(),834,0.021022
process(),835,0.020029
process(),836,0.019976
process(),837,0.020005
process(),838,0.020019
process(),839,0.019951
process(),840,0.020049
process(),841,0.018952
process(),842,0.020273
process(),843,0.019017
process(),844,0.019005
process(),845,0.018998
process(),846,0.018998
process(),847,0.018999
process(),848,0.018
process(),849,0.019001
process(),850,0.02
process(),851,0.019999
process(),852,0.019
process(),853,0.01895
process(),854,0.020055
process(),855,0.019002
process(),856,0.019238
process(),857,0.020001
process(),858,0.018996
process(),859,0.059002
process(),860,0.019
process(),861,0.018999
process(),862,0.019
process(),863,0.019003
process(),864,0.018998
process(),865,0.018003
process(),866,0.02
process(),867,0.018997
process(),868,0.019006
process(),869,0.023974
process(),870,0.019019
process(),871,0.019
process(),872,0.019001
process(),873,0.019
process(),874,0.018999
process(),875,0.019003
process(),876,0.019001
process(),877,0.019002
process(),878,0.019255
process(),879,0.018714
process(),880,0.019025
process(),881,0.02
process(),882,0.019002
process(),883,0.019981
process(),884,0.018963
process(),885,0.019056
process(),886,0.018998
process(),887,0.019002
process(),888,0.019998
process(),889,0.019
process(),890,0.019002
process(),891,0.019001
process(),892,0.018999
process(),893,0.019002
process(),894,0.018996
process(),895,0.018
process(),896,0.019004
process(),897,0.018
process(),898,0.019001
process(),899,0.017998
process(),900,0.019001
process(),901,0.018943
process(),902,0.019056
process(),903,0.018001
process(),904,0.017999
process(),905,0.02098
process(),906,0.018998
process(),907,0.018003
process(),908,0.018997
process(),909,0.017999
process(),910,0.019024
process(),911,0.019
process(),912,0.019
process(),913,0.019002
process(),914,0.019004
process(),915,0.018994
process(),916,0.019
process(),917,0.017996
process(),918,0.018951
process(),919,0.02005
process(),920,0.01895
process(),921,0.020998
process(),922,0.019002
process(),923,0.019997
process(),924,0.020056
process(),925,0.018996
process(),926,0.02
process(),927,0.019002
process(),928,0.018998
process(),929,0.019001
process(),930,0.017998
process(),931,0.019001
process(),932,0.018976
process(),933,0.019971
process(),934,0.021053
process(),935,0.022001
process(),936,0.019982
process(),937,0.019016
process(),938,0.020002
process(),939,0.020001
process(),940,0.019
process(),941,0.018997
process(),942,0.020001
process(),943,0.020001
process(),944,0.018946
process(),945,0.020001
process(),946,0.020052
process(),947,0.019
process(),948,0.020001
process(),949,0.019003
process(),950,0.019945
process(),951,0.019051
process(),952,0.018948
process(),953,0.020052
process(),954,0.018981
process(),955,0.020022
process(),956,0.018945
process(),957,0.019052
process(),958,0.02
process(),959,0.019
process(),960,0.019949
process(),961,0.020054
process(),962,0.019946
process(),963,0.020051
process(),964,0.01995
process(),965,0.020033
process(),966,0.020018
process(),967,0.018999
process(),968,0.018948
process(),969,0.020052
process(),970,0.019
process(),971,0.018949
process(),972,0.02006
process(),973,0.019994
process(),974,0.018978
process(),975,0.020001
process(),976,0.020018
process(),977,0.019002
process(),978,0.019002
process(),979,0.018944
process(),980,0.019058
process(),981,0.019998
process(),982,0.018997
process(),983,0.018999
process(),984,0.018005
process(),985,0.018975
process(),986,0.020995
process(),987,0.020026
process(),988,0.018975
process(),989,0.019024
process(),990,0.019001
process(),991,0.019999
process(),992,0.019001
process(),993,0.018946
process(),994,0.019053
process(),995,0.02
process(),996,0.020003
process(),997,0.018998
process(),998,0.019999
process(),999,0.019003
process(),1000,0.018997
process(),1001,0.019003
process(),1002,0.018997
process(),1003,0.019001
process(),1004,0.018002
process(),1005,0.019001
process(),1006,0.017976
process(),1007,0.019026
process(),1008,0.023974
process(),1009,0.018024
process(),1010,0.018999
process(),1011,0.018001
process(),1012,0.018999
process(),1013,0.019002
process(),1014,0.018999
process(),1015,0.019
process(),1016,0.02
process(),1017,0.02
process(),1018,0.019943
process(),1019,0.019062
process(),1020,0.019942
process(),1021,0.021053
process(),1022,0.018995
process(),1023,0.018952
process(),1024,0.020048
process(),1025,0.019005
process(),1026,0.019
process(),1027,0.018942
process(),1028,0.02
process(),1029,0.021
process(),1030,0.020056
process(),1031,0.019977
process(),1032,0.019967
process(),1033,0.019999
process(),1034,0.022041
process(),1035,0.042014
process(),1036,0.019986
process(),1037,0.019959
process(),1038,0.02
process(),1039,0.020001
process(),1040,0.020035
process(),1041,0.021
process(),1042,0.019965
process(),1043,0.020035
process(),1044,0.019997
process(),1045,0.018998
process(),1046,0.019006
process(),1047,0.018994
process(),1048,0.019005
process(),1049,0.019998
