oid,vehicle_type,class,legislation,a1,b1,c1,d1,e1,f1,g1,h1,corr1,a2,b2,c2,d2,e2,f2,g2,h2,corr2
92,MOT,Mopeds <50cc,Stage I,4.05,0.0,0.0,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
93,MOT,Mopeds <50cc,Stage II,1.98,0.0,0.0,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
94,MOT,Mopeds >50cc,Conventional,20.1,-0.409,0.0035,0.0,0.0,0,0,0,NULL,10.6,-0.0524,0.0003,0.0,0.0,0,0,0,NULL
95,MOT,Mopeds >50cc,97/24/EC,3.9,0.097,-0.001,0.0,0.0,0,0,0,NULL,-0.0003,0.0325,-2e-05,0.0,0.0,0,0,0,NULL
96,MOT,Bike >50cc,Conventional,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
97,MOT,Bike >50cc,97/24/EC,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL,0.0,0.0,0.0,0.0,0.0,0,0,0,NULL
98,MOT,Bike <250cc,Conventional,6.95,-0.211,0.0019,0.0,0.0,0,0,0,NULL,6.42,-0.141,0.0009,0.0,0.0,0,0,0,NULL
99,MOT,Bike <250cc,97/24/EC,2.63,-0.0755,0.0007,0.0,0.0,0,0,0,NULL,1.19,-0.0152,7e-05,0.0,0.0,0,0,0,NULL
100,MOT,Bike 250-750cc,Conventional,5.51,-0.164,0.0015,0.0,0.0,0,0,0,NULL,0.86,0.0005,1e-05,0.0,0.0,0,0,0,NULL
101,MOT,Bike 250-750cc,97/24/EC,2.63,-0.0755,0.0007,0.0,0.0,0,0,0,NULL,1.19,-0.0152,7e-05,0.0,0.0,0,0,0,NULL
102,MOT,Bike >750cc,Conventional,9.28,-0.257,0.0022,0.0,0.0,0,0,0,NULL,3.29,-0.031,0.0001,0.0,0.0,0,0,0,NULL
103,MOT,Bike >750cc,97/24/EC,2.63,-0.0755,0.0007,0.0,0.0,0,0,0,NULL,1.19,-0.0152,7e-05,0.0,0.0,0,0,0,NULL
