vehicle_category,fuel,euro_standard,country,pollutant,hot-cold-evaporation,evaporation_split,10,20,30,40,50,60,70,80,90,100,110,120,130
Buses,Diesel,Euro II,Czech Republic,CH4,Hot,,0.11374999999999999,0.11374999999999999,0.11374999999999999,0.11374999999999999,0.082875,0.052000000000000025,0.05200000000000002,0.04549999999999999,0.04549999999999999,0.04549999999999999,0.04549999999999999,0.04549999999999999,0.04549999999999999
Buses,Diesel,Euro II,Denmark,CH4,Hot,,0.11374999999999981,0.11374999999999981,0.11374999999999981,0.11374999999999981,0.08287499999999992,0.05200000000000002,0.05200000000000002,0.04549999999999998,0.04549999999999998,0.04549999999999998,0.04549999999999998,0.04549999999999998,0.04549999999999998
Buses,Diesel,Euro II,EU27,CH4,Hot,,0.11375,0.11375,0.11375,0.11375,0.08287500000000002,0.05200000000000003,0.05200000000000003,0.04550000000000005,0.04550000000000005,0.04550000000000005,0.04550000000000005,0.04550000000000005,0.04550000000000005
Buses,Diesel,Euro II,Estonia,CH4,Hot,,0.11374999999999999,0.11374999999999999,0.11374999999999999,0.11374999999999999,0.08287499999999999,0.052,0.052,0.0455,0.0455,0.0455,0.0455,0.0455,0.0455
Buses,Diesel,Euro II,Finland,CH4,Hot,,0.11374999999999996,0.11374999999999995,0.11374999999999996,0.11374999999999996,0.08287499999999998,0.052,0.052,0.04549999999999998,0.04549999999999998,0.04549999999999998,0.04549999999999998,0.04549999999999998,0.04549999999999998
Buses,Diesel,Euro II,France,CH4,Hot,,0.11374999999999985,0.11374999999999985,0.11374999999999985,0.11374999999999985,0.08287499999999992,0.052,0.052,0.04550000000000005,0.04550000000000005,0.04550000000000005,0.04550000000000005,0.04550000000000005,0.04550000000000005
Buses,Diesel,Euro II,Germany,CH4,Hot,,0.11374999999999995,0.11374999999999995,0.11374999999999995,0.11374999999999995,0.082875,0.052000000000000046,0.052000000000000046,0.045499999999999964,0.045499999999999964,0.045499999999999964,0.045499999999999964,0.045499999999999964,0.045499999999999964
Buses,Diesel,Euro II,Greece,CH4,Hot,,0.11375000000000007,0.11375000000000007,0.11375000000000007,0.11375000000000007,0.08287500000000005,0.05200000000000001,0.05200000000000001,0.04549999999999999,0.04549999999999999,0.04549999999999999,0.04549999999999999,0.04549999999999999,0.04549999999999999
Buses,Diesel,Euro II,Hungary,CH4,Hot,,0.11374999999999999,0.11374999999999996,0.11374999999999999,0.11374999999999999,0.082875,0.05200000000000001,0.05200000000000001,0.04549999999999999,0.04549999999999999,0.04549999999999999,0.04549999999999999,0.04549999999999999,0.04549999999999999
Buses,Diesel,Euro II,Iceland,CH4,Hot,,0.11374999999999996,0.11374999999999996,0.11374999999999996,0.11374999999999996,0.082875,0.05200000000000003,0.05200000000000003,0.04550000000000003,0.04550000000000003,0.04550000000000003,0.04550000000000003,0.04550000000000003,0.04550000000000003
Buses,Diesel,Euro II,Ireland,CH4,Hot,,0.11374999999999995,0.11374999999999995,0.11374999999999995,0.11374999999999995,0.08287500000000003,0.05200000000000011,0.05200000000000011,0.0455,0.0455,0.0455,0.0455,0.0455,0.0455
