oid,engine_type,engine_full_name,engine_name,thrust,mode,fuel_kg_sec,co_ei,hc_ei,nox_ei,sox_ei,pm10_ei,p1_ei,p2_ei,smoke_number,smoke_number_maximum,fuel_type,manufacturer,source,remark,status,engine_name_type,coolant,combustion_technology,technology_age,pm10_nonvol,pm10_sul,pm10_organic,eng_type,bpr,nvpm_ei,nvpm_number_ei,press_ratio,meem_nvpm_m_i_f00_avg,meem_nvpm_n_i_f00_avg,nvpm_m_max_mgkg,nvpm_n_max_nkg
67,J,6AL016,6AL016,0.3,AP,0.1126,6.789999999999999,0.03,7.119999999999999,0.0,0.0624880994671403,0.0624880994671403,0.0624880994671403,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0118405861456483,0.0489600355239786,0.0016875044404973,J,,0.0118405861456483,67238200000000.0,,,,,
68,J,6AL016,6AL016,0.07,TX,0.046,39.97,3.86,4.17,0.0,0.0878910869565217,0.0878910869565217,0.0878910869565217,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0151149347826086,0.04896,0.023816304347826,J,,0.0151149347826086,35064600000000.0,,,,,
69,J,10AL026,10AL026,1.0,TO,0.466,0.71,0.0001,18.61,0.0,0.0554216738197424,0.0554216738197424,0.0554216738197424,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0064501287553648,0.0489600858369098,1.15e-05,J,,0.0064501287553648,18948300000000.0,,,,,
70,J,10AL026,10AL026,0.85,CL,0.388,0.7399999999999999,9.999999999999998e-05,15.989999999999997,0.0,0.0562744845360824,0.0562744845360824,0.0562744845360824,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0073069072164948,0.0489600515463917,7.6e-06,J,,0.0073069072164948,17872300000000.0,,,,,
71,J,10AL026,10AL026,0.3,AP,0.138,4.079999999999999,0.001,7.899999999999999,0.0,0.0608926086956521,0.0608926086956521,0.0608926086956521,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0118763768115942,0.0489599999999999,5.624999999999999e-05,J,,0.0118763768115942,82654700000000.0,,,,,
72,J,10AL026,10AL026,0.07,TX,0.055,34.17,1.71,4.39,0.0,0.0746712727272727,0.0746712727272727,0.0746712727272727,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0151606363636363,0.04896,0.010550709090909,J,,0.0151606363636363,42051900000000.0,,,,,
73,J,6AL017,6AL017,1.0,TO,0.3583,0.83,0.2329999999999999,18.52,0.0,0.0928068657549539,0.0928068657549539,0.0928068657549539,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0170518001674574,0.0489600893106335,0.0267950041864359,J,,0.0170518001674574,38515200000000.0,,,,,
74,J,6AL017,6AL017,0.85,CL,0.2995,1.03,0.27,15.790000000000004,0.0,0.0767098497495826,0.0767098497495826,0.0767098497495826,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0072299165275459,0.0489599332220367,0.02052,J,,0.0072299165275459,13650400000000.0,,,,,
75,J,6AL017,6AL017,0.3,AP,0.1076,4.22,0.69,6.83,0.0,0.0995232342007435,0.0995232342007435,0.0995232342007435,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0117510223048327,0.0489600371747211,0.0388125464684014,J,,0.0117510223048327,63766700000000.0,,,,,
76,J,6AL017,6AL017,0.07,TX,0.0448,25.730000000000004,4.705,3.38,0.0,0.0929904017857143,0.0929904017857143,0.0929904017857143,,,Jet Fuel,,ACT_PRF (CAEP14/ICAO EEDB),,,,,,,0.0150006026785714,0.0489600446428571,0.0290299107142857,J,,0.0150006026785714,33891600000000.0,,,,,
