100, 'LKW', 'HDV', 2003, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.043, 2.061, 2.272, 6.146, 0.374
101, 'LKW', 'HDV', 2003, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.043, 2.061, 2.272, 6.146, 0.374
102, 'LKW', 'HDV', 2003, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.123, 5.499, 6.488, 14.288, 0.998
103, 'LNF', 'LDV', 2003, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.016, 3.308, 0.438, 1.239, 0.211
104, 'LNF', 'LDV', 2003, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.005, 0.983, 0.167, 0.893, 0.077
105, 'LNF', 'LDV', 2003, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.003, 0.596, 0.095, 0.653, 0.061
106, 'LNF', 'LDV', 2003, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.001, 0.432, 0.054, 0.655, 0.055
107, 'LNF', 'LDV', 2003, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.003, 0.666, 0.108, 0.691, 0.061
108, 'LNF', 'LDV', 2003, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.005, 0.983, 0.167, 0.893, 0.077
109, 'LNF', 'LDV', 2003, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.005, 0.983, 0.167, 0.893, 0.077
110, 'LNF', 'LDV', 2003, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.016, 3.308, 0.438, 1.239, 0.211
111, 'PKW', 'PC', 2004, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.021, 5.241, 0.383, 0.368, 0.019
112, 'PKW', 'PC', 2004, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.007, 1.796, 0.132, 0.275, 0.007
113, 'PKW', 'PC', 2004, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.004, 1.024, 0.074, 0.231, 0.007
114, 'PKW', 'PC', 2004, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.002, 0.493, 0.032, 0.173, 0.004
115, 'LNF', 'LDV', 2005, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.002, 0.451, 0.069, 0.567, 0.046
116, 'LNF', 'LDV', 2005, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.001, 0.328, 0.041, 0.565, 0.041
117, 'LNF', 'LDV', 2005, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.002, 0.502, 0.078, 0.602, 0.046
118, 'LNF', 'LDV', 2005, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.003, 0.73, 0.117, 0.785, 0.057
119, 'LNF', 'LDV', 2005, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.003, 0.73, 0.117, 0.785, 0.057
120, 'LNF', 'LDV', 2005, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.011, 2.542, 0.315, 1.102, 0.154
121, 'PKW', 'PC', 2006, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.015, 4.35, 0.283, 0.312, 0.016
122, 'PKW', 'PC', 2006, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.005, 1.545, 0.098, 0.225, 0.006
123, 'PKW', 'PC', 2006, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.003, 0.874, 0.055, 0.185, 0.006
124, 'PKW', 'PC', 2006, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.001, 0.448, 0.027, 0.143, 0.004
125, 'PKW', 'PC', 2006, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.003, 1.002, 0.063, 0.192, 0.005
126, 'PKW', 'PC', 2006, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.005, 1.545, 0.098, 0.225, 0.006
127, 'PKW', 'PC', 2006, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.005, 1.545, 0.098, 0.225, 0.006
128, 'PKW', 'PC', 2006, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.015, 4.35, 0.283, 0.312, 0.016
129, 'LKW', 'HDV', 2006, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.103, 4, 5.417, 11.387, 0.635
130, 'LKW', 'HDV', 2006, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.036, 1.499, 1.896, 4.9, 0.238
131, 'LKW', 'HDV', 2006, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.017, 0.799, 0.899, 2.918, 0.123
132, 'LKW', 'HDV', 2006, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.009, 0.624, 0.471, 2.822, 0.091
133, 'LKW', 'HDV', 2006, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.019, 0.864, 1.006, 3.213, 0.136
134, 'LKW', 'HDV', 2006, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.036, 1.499, 1.896, 4.9, 0.238
135, 'LKW', 'HDV', 2006, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.036, 1.499, 1.896, 4.9, 0.238
136, 'LKW', 'HDV', 2006, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.103, 4, 5.417, 11.387, 0.635
137, 'LNF', 'LDV', 2006, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.01, 2.286, 0.271, 1.026, 0.13
138, 'LNF', 'LDV', 2006, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.003, 0.644, 0.099, 0.728, 0.049
139, 'LNF', 'LDV', 2006, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.002, 0.401, 0.059, 0.524, 0.04
140, 'LNF', 'LDV', 2006, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.001, 0.292, 0.036, 0.521, 0.036
141, 'LNF', 'LDV', 2006, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.002, 0.446, 0.066, 0.557, 0.04
142, 'LNF', 'LDV', 2006, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.003, 0.644, 0.099, 0.728, 0.049
143, 'LNF', 'LDV', 2006, 'L4', 'LandsideZufahrtzumParking', 'Landside parking access', 20, 'IO_Kern', 'g/km', 0.003, 0.644, 0.099, 0.728, 0.049
144, 'LNF', 'LDV', 2006, 'L5', 'LandsideImParkhaus/Parking', 'Landside parking', 5, 'IO_Stop+Go', 'g/km', 0.01, 2.286, 0.271, 1.026, 0.13
145, 'PKW', 'PC', 2007, 'A1', 'AirsideVorfelder', 'Airside movement area', 5, 'IO_Stop+Go', 'g/km', 0.014, 4.048, 0.249, 0.284, 0.014
146, 'PKW', 'PC', 2007, 'A2', 'AirsideTerminalbereich', 'Airside terminal area', 20, 'IO_Kern', 'g/km', 0.005, 1.458, 0.087, 0.203, 0.005
147, 'PKW', 'PC', 2007, 'A3', 'AirsideUmfahrung', 'Airside by-pass', 42, 'IO_HVS2', 'g/km', 0.003, 0.822, 0.049, 0.166, 0.005
148, 'PKW', 'PC', 2007, 'L1', 'LandsideAutobahnalsZubringer', 'Landside motorway feeder', 87, 'AB_80_gebunden', 'g/km', 0.001, 0.438, 0.025, 0.131, 0.003
149, 'PKW', 'PC', 2007, 'L2', 'LandsideHauptstraﬂealsZubringer', 'Landside main road feeder', 34, 'IO_LSA1', 'g/km', 0.003, 0.943, 0.056, 0.172, 0.005
150, 'PKW', 'PC', 2007, 'L3', 'LandsideVorfahrtenbereich', 'Landside give-way area', 20, 'IO_Kern', 'g/km', 0.005, 1.458, 0.087, 0.203, 0.005
