'707', NULL, 'B701', 'B703', 'JT3C', NULL, 'B707-120/JT3C', 'INM 6.1 aircraft.dbf'
'BEC50', 'BEC58P', 'BE50', NULL, NULL, NULL, 'Beechcraft Model 50 Twin Bonanza', 'INM 6.1 acft_sub.dbf'
'BEC55', 'BEC58P', 'BE55', 'D228', NULL, NULL, 'Beechcraft Model 55 Barron', 'INM 6.1 acft_sub.dbf'
'BEC58', 'BEC58P', 'BE58', 'PA27', NULL, NULL, 'Beechcraft Model 58 Barron', 'INM 6.1 acft_sub.dbf'
'BEC58P', NULL, 'BE58', 'PA27', 'TS10-520-L', NULL, 'BARON 58P/TS10-520-L', 'INM 6.1 aircraft.dbf'
'BEC60', 'BEC58P', 'BE60', 'C421', NULL, NULL, 'Beechcraft Model 60 Duk', 'INM 6.1 acft_sub.dbf'
'BEC65', 'BEC58P', 'BE65', NULL, NULL, NULL, 'Beechcraft Model 65 Queen Air', 'INM 6.1 acft_sub.dbf'
'BEC76', 'BEC58P', 'BE76', 'PA27', NULL, NULL, 'Beechcraft Model 76 Duchess', 'INM 6.1 acft_sub.dbf'
'BEC80', 'BEC58P', 'BE80', NULL, NULL, NULL, 'Beechcraft Model Queen Air 80 series', 'INM 6.1 acft_sub.dbf'
'BEC90', 'CNA441', 'BE9L', 'BE9L', NULL, NULL, 'Beech King Air C90', 'INM 6.1 acft_sub.dbf'
'BEC95', 'BEC58P', 'BE95', 'PA31', NULL, NULL, 'Beechcraft Model 95 Travel Air', 'INM 6.1 acft_sub.dbf'
'BEC99', 'DHC6', 'BE99', 'BE99', NULL, NULL, 'Beech Airliner Model 99', 'INM 6.1 acft_sub.dbf'
'BEC9F', 'CNA441', 'BE9T', NULL, NULL, NULL, 'Beech F90 Super King Air', 'INM 6.1 acft_sub.dbf'
'BECM35', 'GASEPV', 'BE35', NULL, NULL, NULL, 'Beechcraft Model M35 Bonanza', 'INM 6.1 acft_sub.dbf'
'BL14', 'GASEPF', 'B14A', NULL, NULL, NULL, 'Bellanca Cruisair', 'INM 6.1 acft_sub.dbf'
'BL26', 'GASEPF', 'BL17', NULL, NULL, NULL, 'Bellanca Super Viking Model 17-30A', 'INM 6.1 acft_sub.dbf'
'BLCH10', 'GASEPF', 'CH7A', NULL, NULL, NULL, 'Bellanca Champion Citabria CH10', 'INM 6.1 acft_sub.dbf'
'BN2A', 'BEC58P', 'BN2P', 'PA31', NULL, NULL, 'Britten-Norman BN-2A Islander', 'INM 6.1 acft_sub.dbf'
'BN3', 'GASEPF', 'D228', 'D228', 'O-235-C1B', NULL, 'Britten-Norman BN-3 Nymph', 'INM 6.1 acft_sub.dbf'
'BUCCAN', NULL, 'BUC', NULL, 'SPEY RB 168-1A', NULL, 'Blackburb Buccaneer RR SPEY RB 168-1A', 'INM 6.1 aircraft.dbf'
'C118', NULL, 'DC6', NULL, 'R-2800-CB17', NULL, 'MCDONNELL DOUGLAS LIFT PW R-2800-CB17 NM', 'INM 6.1 aircraft.dbf'
'C119L', NULL, 'C119', NULL, NULL, NULL, 'FAIRCHILD FLYING BOX CAR C119L', 'INM 6.1 aircraft.dbf'
'C12', NULL, 'BE20', 'BE20', 'PT6A-41', 'PT6A41', 'BEECH SUPER KING AIR HURON PW PT6A-41', 'INM 6.1 aircraft.dbf'
'C121', NULL, '????', NULL, NULL, NULL, 'C121', 'INM 6.1 aircraft.dbf'
'C123K', NULL, 'C123', NULL, 'R-2800-99W', NULL, 'FAIRCHILD PW R-2800-99W AUX J85-GE17', 'INM 6.1 aircraft.dbf'
'C130', NULL, 'C130', 'C130', 'T56-A-15', 'T56A15', 'C-130H/T56-A-15', 'INM 6.1 aircraft.dbf'
'C130AD', NULL, 'C130', 'C130', 'T56-A-15', 'T56A15', 'LOCKHEED HERCULES T56-A15', 'INM 6.1 aircraft.dbf'
'C130', NULL, 'C130', 'C130', 'T56-A-7', 'T56A7', 'C-130E/T56-A-7', 'INM 6.1 aircraft.dbf'
'C-130', NULL, 'C130', 'C130', 'T56-A-15', 'T56A15', 'LOCKHEED HERCULES T56-A15 C130', 'INM 6.1 aircraft.dbf'
'C130HP', NULL, 'C130', 'C130', NULL, NULL, 'LOCKHEED HERCULES C130HP', 'INM 6.1 aircraft.dbf'
'C131B', NULL, '????', NULL, 'R-2800-99W', NULL, 'GENERAL DYNAMICS CV34 PW R-2800-99W', 'INM 6.1 aircraft.dbf'
'C135A', NULL, 'C135', 'B703', 'J57-59W', NULL, 'BOEING STRATOLIFTER PW J57-59W', 'INM 6.1 aircraft.dbf'
'C135B', NULL, 'C135', 'B703', NULL, NULL, 'BOEING STRATOLIFTER C135B', 'INM 6.1 aircraft.dbf'
'C137', NULL, 'B703', 'B703', 'JT3D-3B', '1PW001', 'JT3D-3B', 'INM 6.1 aircraft.dbf'
'C140', NULL, 'L29B', 'CL60', 'TFE731-3', '1AS002', 'LOCKHEED JETSTAR TFE731-3', 'INM 6.1 aircraft.dbf'
'C141', '707320', 'C141', 'DC87', NULL, NULL, 'Lockheed C-141 Starlifter', 'INM 6.1 acft_sub.dbf'
'C141A', NULL, 'C141', 'DC87', 'TF33-P-7', 'TF33P7', 'LOCKHEED STARLIFTER TF-33-P-7', 'INM 6.1 aircraft.dbf'
