oid;profile_id;arrival_departure;stage;point;weight_lbs;horizontal_feet;vertical_feet;tas_knots;weight_kgs;horizontal_metres;vertical_metres;tas_metres;power;mode;course
6579;A310-304-D-6;D;6;4;346100;17683.1;1239.8;217.1;156988.1912;5389.80888;377.89104;111.6857924;0.770214766;CL;ANP2.2
6580;A310-304-D-6;D;6;5;346100;18683.1;1364.6;217.5;156988.1912;5694.60888;415.93008;111.89157;0.629081121;CL;ANP2.2
6581;A310-304-D-6;D;6;6;346100;31790.4;3000;222.8;156988.1912;9689.71392;914.4;114.6181232;0.673291589;CL;ANP2.2
6582;A310-304-D-6;D;6;7;346100;40734.8;3361.6;261.4;156988.1912;12415.96704;1024.61568;134.4756616;0.649407664;CL;ANP2.2
6583;A310-304-D-6;D;6;8;346100;59096.4;5500;269.9;156988.1912;18012.58272;1676.4;138.8484356;0.699468411;CL;ANP2.2
6584;A310-304-D-6;D;6;9;346100;76608.9;7500;278.3;156988.1912;23350.39272;2286;143.1697652;0.739621869;CL;ANP2.2
6585;A310-304-D-6;D;6;10;346100;99513.5;10000;289.3;156988.1912;30331.7148;3048;148.8286492;0.780750467;CL;ANP2.2
6586;A319-131-A-1;A;1;1;125900;-137128.1;6000;272;57107.2328;-41796.64488;1828.8;139.928768;0.002544545;AP;ANP2.2
6587;A319-131-A-1;A;1;2;125900;-81734.6;3000;260;57107.2328;-24912.70608;914.4;133.75544;4.54545e-05;AP;ANP2.2
6588;A319-131-A-1;A;1;3;125900;-62005.2;3000;205.4;57107.2328;-18899.18496;914.4;105.6667976;0.008684545;AP;ANP2.2
6589;A319-131-A-1;A;1;4;125900;-57243.4;3000;188.6;57107.2328;-17447.78832;914.4;97.0241384;0.013973636;AP;ANP2.2
6590;A319-131-A-1;A;1;5;125900;-49801.8;2610;173.4;57107.2328;-15179.58864;795.528;89.2045896;0.016552273;AP;ANP2.2
6591;A319-131-A-1;A;1;6;125900;-40337.5;2114;142;57107.2328;-12294.87;644.3472;73.051048;0.023574091;AP;ANP2.2
6592;A319-131-A-1;A;1;7;125900;-38608.9;2023.4;133.5;57107.2328;-11767.99272;616.73232;68.678274;0.025750909;AP;ANP2.2
6593;A319-131-A-1;A;1;8;125900;-37608.9;1971;128.3;57107.2328;-11463.19272;600.7608;66.0031652;0.223793636;AP;ANP2.2
6594;A319-131-A-1;A;1;9;125900;-954.1;50;124.8;57107.2328;-290.80968;15.24;64.2026112;0.208675;AP;ANP2.2
6595;A319-131-A-1;A;1;10;125900;-477;25;124.7;57107.2328;-145.3896;7.62;64.1511668;0.208486364;AP;ANP2.2
6596;A319-131-A-1;A;1;11;125900;0;0;124.7;57107.2328;0;0;64.1511668;0.208334545;AP;ANP2.2
6597;A319-131-A-1;A;1;12;125900;152.3;0;121.7;57107.2328;46.42104;0;62.6078348;0.4;AP;ANP2.2
6598;A319-131-A-1;A;1;13;125900;1370.6;0;29.8;57107.2328;417.75888;0;15.3304312;0.1;AP;ANP2.2
6599;A319-131-D-1;D;1;1;125900;0;0;0;57107.2328;0;0;0;0.975376818;TO;ANP2.2
6600;A319-131-D-1;D;1;2;125900;2992.9;0;133;57107.2328;912.23592;0;68.421052;0.845802727;TO;ANP2.2
6601;A319-131-D-1;D;1;3;125900;9640.7;1500;136;57107.2328;2938.48536;457.2;69.964384;0.868317727;TO;ANP2.2
6602;A319-131-D-1;D;1;4;125900;10640.7;1648.2;136.3;57107.2328;3243.28536;502.37136;70.1187172;0.674115909;CL;ANP2.2
6603;A319-131-D-1;D;1;5;125900;19760.6;3000;139;57107.2328;6023.03088;914.4;71.507716;0.683695909;CL;ANP2.2
6604;A319-131-D-1;D;1;6;125900;26922.6;3368.2;189.7;57107.2328;8206.00848;1026.62736;97.5900268;0.726626364;CL;ANP2.2
6605;A319-131-D-1;D;1;7;125900;29478;3498.7;205.9;57107.2328;8984.8944;1066.40376;105.9240196;0.740310909;CL;ANP2.2
6606;A319-131-D-1;D;1;8;125900;33896.4;3740.2;235.3;57107.2328;10331.62272;1140.01296;121.0486732;0.764939091;CL;ANP2.2
6607;A319-131-D-1;D;1;9;125900;38759.8;4018;264;57107.2328;11813.98704;1224.6864;135.813216;0.771194545;CL;ANP2.2
6608;A319-131-D-1;D;1;10;125900;47575.9;5500;269.9;57107.2328;14501.13432;1676.4;138.8484356;0.792023636;CL;ANP2.2
6609;A319-131-D-1;D;1;11;125900;60085.5;7500;278.3;57107.2328;18314.0604;2286;143.1697652;0.813877273;CL;ANP2.2
6610;A319-131-D-1;D;1;12;125900;77145.5;10000;289.3;57107.2328;23513.9484;3048;148.8286492;0.831594545;CL;ANP2.2
6611;A319-131-D-2;D;2;1;131000;0;0;0;59420.552;0;0;0;0.975376818;TO;ANP2.2
6612;A319-131-D-2;D;2;2;131000;3250.2;0;135.7;59420.552;990.66096;0;69.8100508;0.843204091;TO;ANP2.2
6613;A319-131-D-2;D;2;3;131000;10310.3;1500;138.7;59420.552;3142.57944;457.2;71.3533828;0.865719545;TO;ANP2.2
6614;A319-131-D-2;D;2;4;131000;11310.3;1640.1;139;59420.552;3447.37944;499.90248;71.507716;0.676324091;CL;ANP2.2
6615;A319-131-D-2;D;2;5;131000;21015.3;3000;141.8;59420.552;6405.46344;914.4;72.9481592;0.685961364;CL;ANP2.2
6616;A319-131-D-2;D;2;6;131000;28873.2;3378.4;193.7;59420.552;8800.55136;1029.73632;99.6478028;0.729909545;CL;ANP2.2
6617;A319-131-D-2;D;2;7;131000;31451.9;3502.9;208.9;59420.552;9586.53912;1067.68392;107.4673516;0.742790909;CL;ANP2.2
6618;A319-131-D-2;D;2;8;131000;35898.8;3733.8;236.9;59420.552;10941.95424;1138.06224;121.8717836;0.764957273;CL;ANP2.2
6619;A319-131-D-2;D;2;9;131000;40747.7;3997.5;263.9;59420.552;12419.89896;1218.438;135.7617716;0.770886818;CL;ANP2.2
6620;A319-131-D-2;D;2;10;131000;50177.4;5500;269.9;59420.552;15294.07152;1676.4;138.8484356;0.792023636;CL;ANP2.2
6621;A319-131-D-2;D;2;11;131000;63385.2;7500;278.3;59420.552;19319.80896;2286;143.1697652;0.813877273;CL;ANP2.2
6622;A319-131-D-2;D;2;12;131000;81415.6;10000;289.3;59420.552;24815.47488;3048;148.8286492;0.831594545;CL;ANP2.2
6623;A319-131-D-3;D;3;1;136500;0;0;0;61915.308;0;0;0;0.975376818;TO;ANP2.2
6624;A319-131-D-3;D;3;2;136500;3540.4;0;138.5;61915.308;1079.11392;0;71.250494;0.840458182;TO;ANP2.2
6625;A319-131-D-3;D;3;3;136500;11059.8;1500;141.6;61915.308;3371.02704;457.2;72.8452704;0.862973182;TO;ANP2.2
6626;A319-131-D-3;D;3;4;136500;12059.8;1632.1;141.8;61915.308;3675.82704;497.46408;72.9481592;0.678661364;CL;ANP2.2
6627;A319-131-D-3;D;3;5;136500;22417.2;3000;144.8;61915.308;6832.76256;914.4;74.4914912;0.688355455;CL;ANP2.2
6628;A319-131-D-3;D;3;6;136500;31028.2;3388.1;197.6;61915.308;9457.39536;1032.69288;101.6541344;0.733105;CL;ANP2.2
6629;A319-131-D-3;D;3;7;136500;33670.2;3508.6;212.1;61915.308;10262.67696;1069.42128;109.1135724;0.745366818;CL;ANP2.2
6630;A319-131-D-3;D;3;8;136500;38148.4;3729.3;238.5;61915.308;11627.63232;1136.69064;122.694894;0.765013182;CL;ANP2.2
6631;A319-131-D-3;D;3;9;136500;42963.7;3978.4;263.8;61915.308;13095.33576;1212.61632;135.7103272;0.770600455;CL;ANP2.2
6632;A319-131-D-3;D;3;10;136500;53063.5;5500;269.9;61915.308;16173.7548;1676.4;138.8484356;0.792023636;CL;ANP2.2
6633;A319-131-D-3;D;3;11;136500;67044.6;7500;278.3;61915.308;20435.19408;2286;143.1697652;0.813877273;CL;ANP2.2
6634;A319-131-D-3;D;3;12;136500;86152.7;10000;289.3;61915.308;26259.34296;3048;148.8286492;0.831594545;CL;ANP2.2
6635;A319-131-D-4;D;4;1;146100;0;0;0;66269.7912;0;0;0;0.975376818;TO;ANP2.2
6636;A319-131-D-4;D;4;2;146100;4078.4;0;143.3;66269.7912;1243.09632;0;73.7198252;0.835794091;TO;ANP2.2
6637;A319-131-D-4;D;4;3;146100;12439.7;1500;146.5;66269.7912;3791.62056;457.2;75.366046;0.858309545;TO;ANP2.2
6638;A319-131-D-4;D;4;4;146100;13439.7;1619.5;146.7;66269.7912;4096.42056;493.6236;75.4689348;0.682638182;CL;ANP2.2
6639;A319-131-D-4;D;4;5;146100;24992.7;3000;149.8;66269.7912;7617.77496;914.4;77.0637112;0.692421818;CL;ANP2.2
6640;A319-131-D-4;D;4;6;146100;35074.7;3405.6;204.4;66269.7912;10690.76856;1038.02688;105.1523536;0.738721818;CL;ANP2.2
6641;A319-131-D-4;D;4;7;146100;37781.9;3517.6;217.6;66269.7912;11515.92312;1072.16448;111.9430144;0.749825;CL;ANP2.2
6642;A319-131-D-4;D;4;8;146100;42327.2;3722.4;241.8;66269.7912;12901.33056;1134.58752;124.3925592;0.765149091;CL;ANP2.2
6643;A319-131-D-4;D;4;9;146100;46935.3;3941.1;263.7;66269.7912;14305.87944;1201.24728;135.6588828;0.770038182;CL;ANP2.2
6644;A319-131-D-4;D;4;10;146100;58302.9;5500;269.9;66269.7912;17770.72392;1676.4;138.8484356;0.792023636;CL;ANP2.2
6645;A319-131-D-4;D;4;11;146100;73687.6;7500;278.3;66269.7912;22459.98048;2286;143.1697652;0.813877273;CL;ANP2.2
6646;A319-131-D-4;D;4;12;146100;94759.3;10000;289.3;66269.7912;28882.63464;3048;148.8286492;0.831594545;CL;ANP2.2
6647;A319-131-D-5;D;5;1;166400;0;0;0;75477.7088;0;0;0;0.975376818;TO;ANP2.2
6648;A319-131-D-5;D;5;2;166400;5350.4;0;152.9;75477.7088;1630.80192;0;78.6584876;0.826412273;TO;ANP2.2
6649;A319-131-D-5;D;5;3;166400;7589.1;106.1;169.1;75477.7088;2313.15768;32.33928;86.9924804;0.812402727;TO;ANP2.2
6650;A319-131-D-5;D;5;4;166400;17488;1500;172.6;75477.7088;5330.3424;457.2;88.7930344;0.83341;TO;ANP2.2
6651;A319-131-D-5;D;5;5;166400;18488;1601.1;172.8;75477.7088;5635.1424;488.01528;88.8959232;0.704215909;CL;ANP2.2
